timestamp,reading,confidence,uav_lat,uav_lon,uav_alt
2026-05-16T11:51:03.871045,401012183,0.7452673316001892,0.0,0.0,0.0
2026-05-16T11:51:03.899286,66384,0.6455051302909851,0.0,0.0,0.0
2026-05-16T11:51:03.927565,0:0:0 58,0.5355775356292725,0.0,0.0,0.0
2026-05-16T11:51:03.956493,003Ma,0.31143492460250854,0.0,0.0,0.0
2026-05-16T11:51:03.983959,N0:103231 0r,0.48175838589668274,0.0,0.0,0.0
2026-05-16T11:51:04.012242,PODDDO,0.3114377558231354,0.0,0.0,0.0
2026-05-16T11:51:04.042013,00205,0.6956168413162231,0.0,0.0,0.0
2026-05-16T11:51:04.071029,OF0*250759,0.4781951904296875,0.0,0.0,0.0
2026-05-16T11:51:04.098898,OF0*250759,0.0,0.0,0.0,0.0
2026-05-16T11:51:04.131592,10202,0.532330334186554,0.0,0.0,0.0
2026-05-16T11:51:04.157107,nEae,0.21719990670681,0.0,0.0,0.0
2026-05-16T11:51:04.184248,cotaa,0.7815264463424683,0.0,0.0,0.0
2026-05-16T11:51:04.209512,0050.5,0.8631471991539001,0.0,0.0,0.0
2026-05-16T11:51:04.234459,00039,0.7460706830024719,0.0,0.0,0.0
2026-05-16T11:51:04.259214,FooJaol,0.42586496472358704,0.0,0.0,0.0
2026-05-16T11:51:04.284227,7613321,0.48951730132102966,0.0,0.0,0.0
2026-05-16T11:51:04.309951,0H0-37-142113,0.5830018520355225,0.0,0.0,0.0
2026-05-16T11:51:04.335253,0000g,0.43756526708602905,0.0,0.0,0.0
2026-05-16T11:51:04.360233,000.31,0.6854750514030457,0.0,0.0,0.0
2026-05-16T11:51:04.385416,Dd09u,0.24583637714385986,0.0,0.0,0.0
2026-05-16T11:51:04.411108,AO045,0.22482964396476746,0.0,0.0,0.0
2026-05-16T11:51:04.436482,199449,0.601534366607666,0.0,0.0,0.0
2026-05-16T11:51:04.461923,LU005N,0.33676397800445557,0.0,0.0,0.0
2026-05-16T11:51:04.495138,00o,0.47865036129951477,0.0,0.0,0.0
2026-05-16T11:51:04.521213,0:00E0A0,0.47282883524894714,0.0,0.0,0.0
2026-05-16T11:51:04.546143,0:0:0:0.03,0.7560960054397583,0.0,0.0,0.0
2026-05-16T11:51:04.571431,mEDm,0.3723110258579254,0.0,0.0,0.0
2026-05-16T11:51:04.596691,9OLOE,0.31707072257995605,0.0,0.0,0.0
2026-05-16T11:51:04.622106,1070412177,0.7315089702606201,0.0,0.0,0.0
2026-05-16T11:51:04.647872,l60g0u,0.34622517228126526,0.0,0.0,0.0
2026-05-16T11:51:04.673471,00000,0.5368620157241821,0.0,0.0,0.0
2026-05-16T11:51:04.699292,1062312169,0.6585079431533813,0.0,0.0,0.0
2026-05-16T11:51:04.724875,0:0:00:01,0.5509499311447144,0.0,0.0,0.0
2026-05-16T11:51:04.750110,1o0Htor2,0.34778106212615967,0.0,0.0,0.0
2026-05-16T11:51:04.775251,66670,0.7014532089233398,0.0,0.0,0.0
2026-05-16T11:51:04.801215,0003B,0.5768463015556335,0.0,0.0,0.0
2026-05-16T11:51:04.826597,00D.08,0.578440248966217,0.0,0.0,0.0
2026-05-16T11:51:04.851540,gam68,0.35352128744125366,0.0,0.0,0.0
2026-05-16T11:51:04.877155,0-0.014.7.,0.6223922967910767,0.0,0.0,0.0
2026-05-16T11:51:04.902382,Y20-40-10-张154,0.6217064261436462,0.0,0.0,0.0
2026-05-16T11:51:04.928610,Loo2no,0.31922808289527893,0.0,0.0,0.0
2026-05-16T11:51:04.954688,gOLSs,0.363386332988739,0.0,0.0,0.0
2026-05-16T11:51:04.980777,Ta032a,0.3336697816848755,0.0,0.0,0.0
2026-05-16T11:51:05.006859,ouabB,0.38870808482170105,0.0,0.0,0.0
2026-05-16T11:51:05.034751,FOEA,0.35719919204711914,0.0,0.0,0.0
2026-05-16T11:51:05.059940,10:49649.,0.7122891545295715,0.0,0.0,0.0
2026-05-16T11:51:05.094315,00900,0.5571578145027161,0.0,0.0,0.0
2026-05-16T11:51:05.123966,124032,0.5563673973083496,0.0,0.0,0.0
2026-05-16T11:51:05.148838,0-0-0-1383,0.6138365864753723,0.0,0.0,0.0
2026-05-16T11:51:05.173911,TAC1G0L,0.4648159444332123,0.0,0.0,0.0
2026-05-16T11:51:05.198931,0305058575,0.7430377006530762,0.0,0.0,0.0
2026-05-16T11:51:05.224958,1a00ao,0.44090989232063293,0.0,0.0,0.0
2026-05-16T11:51:05.251603,10.0.0.0.0.,0.7430784702301025,0.0,0.0,0.0
2026-05-16T11:51:05.278000,ARERO,0.5326879620552063,0.0,0.0,0.0
2026-05-16T11:51:05.311395,1ouh0a5,0.3625459372997284,0.0,0.0,0.0
2026-05-16T11:51:05.338292,0-0:042353,0.7924176454544067,0.0,0.0,0.0
2026-05-16T11:51:18.240143,401012183,0.7452673316001892,0.0,0.0,0.0
2026-05-16T11:51:18.267262,66384,0.6455051302909851,0.0,0.0,0.0
2026-05-16T11:51:18.294719,0:0:0 58,0.5355775356292725,0.0,0.0,0.0
2026-05-16T11:51:18.320761,003Ma,0.31143492460250854,0.0,0.0,0.0
2026-05-16T11:51:18.346394,N0:103231 0r,0.48175838589668274,0.0,0.0,0.0
2026-05-16T11:51:18.372018,PODDDO,0.3114377558231354,0.0,0.0,0.0
2026-05-16T11:51:18.398338,00205,0.6956168413162231,0.0,0.0,0.0
2026-05-16T11:51:18.424093,OF0*250759,0.4781951904296875,0.0,0.0,0.0
